"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"NJ2020",4,1,"T0_T9","c_Viruses","VP",2525941.71997158,22733475.4797442,NA,NA,"VPCL_SR","3"
"NJ2020",4,1,"T0_T12","c_Viruses","VP",2525941.71997158,22733475.4797442,NA,NA,"VPCL_SR","3"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",1285412.22459133,23272068.2302772,NA,NA,"VPCL_SR","3"
"NJ2020",5,1,"T0_T3","c_Viruses","VP",333475.479744134,1000426.4392324,NA,NA,"VPCL_SR","1"
"NJ2020",5,1,"T0_T6","c_Viruses","VP",1202238.80597015,7213432.8358209,NA,NA,"VPCL_SR","1"
"NJ2020",5,1,"T0_T9","c_Viruses","VP",1202238.80597015,7213432.8358209,NA,NA,"VPCL_SR","1"
"NJ2020",5,1,"T0_T12","c_Viruses","VP",1020842.21748401,9731769.7228145,NA,NA,"VPCL_SR","1"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",714872.068230279,10626012.793177,NA,NA,"VPCL_SR","1"
"NJ2020",5,1,"T0_T3","c_Viruses","VP",478464.818763301,1435394.4562899,NA,NA,"VPCL_SR","2"
"NJ2020",5,1,"T0_T6","c_Viruses","VP",478464.818763301,1435394.4562899,NA,NA,"VPCL_SR","2"
"NJ2020",5,1,"T0_T9","c_Viruses","VP",478464.818763301,1435394.4562899,NA,NA,"VPCL_SR","2"
"NJ2020",5,1,"T0_T12","c_Viruses","VP",1089445.62899785,6536673.7739871,NA,NA,"VPCL_SR","2"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",1089445.62899785,6536673.7739871,NA,NA,"VPCL_SR","2"
"NJ2020",5,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",5,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",5,1,"T0_T9","c_Viruses","VP",989339.019189766,2968017.0575693,NA,NA,"VPCL_SR","3"
"NJ2020",5,1,"T0_T12","c_Viruses","VP",660234.541577817,3961407.2494669,NA,NA,"VPCL_SR","3"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",660234.541577817,3961407.2494669,NA,NA,"VPCL_SR","3"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",205543.710021334,616631.130064003,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",205543.710021334,616631.130064003,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",205543.710021334,616631.130064003,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",2410234.54157783,14461407.249467,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",601492.537313437,15578251.5991471,NA,NA,"VPCL_SR","1"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",241364.6055437,724093.816631101,NA,NA,"VPCL_SR","2"
